"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.4176","0.0349","8600000US01588","ZCTA5 01588"
"0.4320","0.0509","8600000US01590","ZCTA5 01590"
"0.4516","0.0217","8600000US01602","ZCTA5 01602"
"0.4822","0.0255","8600000US01603","ZCTA5 01603"
"0.4344","0.0226","8600000US01604","ZCTA5 01604"
"0.4912","0.0247","8600000US01605","ZCTA5 01605"
"0.4421","0.0305","8600000US01606","ZCTA5 01606"
"0.4556","0.0552","8600000US01607","ZCTA5 01607"
"0.4964","0.0420","8600000US01608","ZCTA5 01608"
"0.5417","0.0243","8600000US01609","ZCTA5 01609"
"0.4917","0.0314","8600000US01610","ZCTA5 01610"
"0.3360","0.0535","8600000US01611","ZCTA5 01611"
"0.3657","0.0363","8600000US01612","ZCTA5 01612"
"0.4217","0.0226","8600000US01701","ZCTA5 01701"
"0.4601","0.0266","8600000US01702","ZCTA5 01702"
"0.2619","0.1147","8600000US01718","ZCTA5 01718"
"0.4359","0.0428","8600000US01719","ZCTA5 01719"
"0.4360","0.0225","8600000US01720","ZCTA5 01720"
"0.4048","0.0290","8600000US01721","ZCTA5 01721"
"0.4379","0.0601","8600000US01730","ZCTA5 01730"
"0.3369","0.0420","8600000US01731","ZCTA5 01731"
"0.3460","0.0332","8600000US01740","ZCTA5 01740"
"0.4371","0.0432","8600000US01741","ZCTA5 01741"
"0.4748","0.0295","8600000US01742","ZCTA5 01742"
"0.4404","0.1969","8600000US01745","ZCTA5 01745"
"0.4274","0.0415","8600000US01746","ZCTA5 01746"
"0.3719","0.0376","8600000US01747","ZCTA5 01747"
"0.4439","0.0356","8600000US01748","ZCTA5 01748"
"0.4019","0.0236","8600000US01749","ZCTA5 01749"
"0.4218","0.0215","8600000US01752","ZCTA5 01752"
"0.4266","0.0279","8600000US01754","ZCTA5 01754"
"0.3810","0.0421","8600000US01756","ZCTA5 01756"
"0.3979","0.0184","8600000US01757","ZCTA5 01757"
"0.4428","0.0184","8600000US01760","ZCTA5 01760"
"0.4187","0.0443","8600000US01770","ZCTA5 01770"
"0.4893","0.0400","8600000US01772","ZCTA5 01772"
"0.5374","0.0416","8600000US01773","ZCTA5 01773"
"0.3894","0.0480","8600000US01775","ZCTA5 01775"
"0.4062","0.0212","8600000US01776","ZCTA5 01776"
"0.4278","0.0229","8600000US01778","ZCTA5 01778"
"0.4070","0.0170","8600000US01801","ZCTA5 01801"
"0.4317","0.0303","8600000US01803","ZCTA5 01803"
"0.4469","0.0156","8600000US01810","ZCTA5 01810"
"0.3540","0.0253","8600000US01821","ZCTA5 01821"
"0.3898","0.0211","8600000US01824","ZCTA5 01824"
"0.3873","0.0221","8600000US01826","ZCTA5 01826"
"0.3467","0.0358","8600000US01827","ZCTA5 01827"
"0.4574","0.0293","8600000US01830","ZCTA5 01830"
"0.4226","0.0211","8600000US01832","ZCTA5 01832"
"0.3938","0.0263","8600000US01833","ZCTA5 01833"
"0.3751","0.0311","8600000US01834","ZCTA5 01834"
"0.3902","0.0319","8600000US01835","ZCTA5 01835"
"0.5593","0.0770","8600000US01840","ZCTA5 01840"
"0.4536","0.0267","8600000US01841","ZCTA5 01841"
"0.4649","0.0381","8600000US01843","ZCTA5 01843"
"0.4268","0.0241","8600000US01844","ZCTA5 01844"
"0.4629","0.0255","8600000US01845","ZCTA5 01845"
"0.4197","0.0363","8600000US01850","ZCTA5 01850"
"0.4440","0.0285","8600000US01851","ZCTA5 01851"
"0.4539","0.0186","8600000US01852","ZCTA5 01852"
"0.5029","0.0320","8600000US01854","ZCTA5 01854"
"0.3871","0.0352","8600000US01860","ZCTA5 01860"
"0.3493","0.0293","8600000US01862","ZCTA5 01862"
"0.3840","0.0313","8600000US01863","ZCTA5 01863"
"0.4460","0.0566","8600000US01864","ZCTA5 01864"
"0.4027","0.0227","8600000US01867","ZCTA5 01867"
"0.3847","0.0233","8600000US01876","ZCTA5 01876"
"0.4474","0.0469","8600000US01879","ZCTA5 01879"
"0.4255","0.0274","8600000US01880","ZCTA5 01880"
"0.3760","0.0203","8600000US01886","ZCTA5 01886"
"0.3722","0.0251","8600000US01887","ZCTA5 01887"
"0.4757","0.0240","8600000US01890","ZCTA5 01890"
"0.5095","0.0772","8600000US01901","ZCTA5 01901"
"0.4730","0.0223","8600000US01902","ZCTA5 01902"
"0.3937","0.0231","8600000US01904","ZCTA5 01904"
"0.4331","0.0244","8600000US01905","ZCTA5 01905"
"0.4427","0.0364","8600000US01906","ZCTA5 01906"
"0.5034","0.0611","8600000US01907","ZCTA5 01907"
"0.4974","0.0799","8600000US01908","ZCTA5 01908"
"0.4450","0.0289","8600000US01913","ZCTA5 01913"
"0.4906","0.0231","8600000US01915","ZCTA5 01915"
"0.4257","0.0488","8600000US01921","ZCTA5 01921"
"0.4041","0.0728","8600000US01922","ZCTA5 01922"
"0.4137","0.0246","8600000US01923","ZCTA5 01923"
"0.4232","0.0451","8600000US01929","ZCTA5 01929"
"0.4675","0.0236","8600000US01930","ZCTA5 01930"
"-","**","8600000US01937","ZCTA5 01937"
"0.5335","0.0624","8600000US01938","ZCTA5 01938"
"0.4736","0.0358","8600000US01940","ZCTA5 01940"
"0.4146","0.0497","8600000US01944","ZCTA5 01944"
"0.4863","0.0276","8600000US01945","ZCTA5 01945"
"0.4358","0.0487","8600000US01949","ZCTA5 01949"
"0.4490","0.0258","8600000US01950","ZCTA5 01950"
"0.4196","0.0608","8600000US01951","ZCTA5 01951"
"0.4460","0.0614","8600000US01952","ZCTA5 01952"
"0.4351","0.0191","8600000US01960","ZCTA5 01960"
"0.4406","0.0343","8600000US01966","ZCTA5 01966"
"0.4505","0.0851","8600000US01969","ZCTA5 01969"
"0.4701","0.0208","8600000US01970","ZCTA5 01970"
"0.4520","0.0312","8600000US01982","ZCTA5 01982"
"0.3694","0.0387","8600000US01983","ZCTA5 01983"
"0.4885","0.0501","8600000US01984","ZCTA5 01984"
"0.4130","0.0627","8600000US01985","ZCTA5 01985"
"0.3841","0.0339","8600000US02019","ZCTA5 02019"
"0.4375","0.0239","8600000US02021","ZCTA5 02021"
"0.5182","0.0411","8600000US02025","ZCTA5 02025"
"0.4509","0.0214","8600000US02026","ZCTA5 02026"
"0.4443","0.0310","8600000US02030","ZCTA5 02030"
"0.3327","0.0411","8600000US02032","ZCTA5 02032"
"0.4834","0.0405","8600000US02035","ZCTA5 02035"
"0.4232","0.0205","8600000US02038","ZCTA5 02038"
"0.5138","0.0275","8600000US02043","ZCTA5 02043"
"0.4244","0.0254","8600000US02045","ZCTA5 02045"
"0.4178","0.2057","8600000US02047","ZCTA5 02047"
"0.4153","0.0275","8600000US02048","ZCTA5 02048"
"0.4252","0.0319","8600000US02050","ZCTA5 02050"
"0.4505","0.0307","8600000US02052","ZCTA5 02052"
"0.4179","0.0370","8600000US02053","ZCTA5 02053"
"0.3733","0.0527","8600000US02054","ZCTA5 02054"
"0.3622","0.0307","8600000US02056","ZCTA5 02056"
"0.4002","0.0384","8600000US02061","ZCTA5 02061"
"0.4455","0.0310","8600000US02062","ZCTA5 02062"
"0.4711","0.0308","8600000US02066","ZCTA5 02066"
"0.4466","0.0334","8600000US02067","ZCTA5 02067"
"0.2118","0.0864","8600000US02071","ZCTA5 02071"
"0.4075","0.0158","8600000US02072","ZCTA5 02072"
"0.4130","0.0242","8600000US02081","ZCTA5 02081"
"0.4578","0.0323","8600000US02090","ZCTA5 02090"
"0.4064","0.0292","8600000US02093","ZCTA5 02093"
"0.5121","0.0396","8600000US02108","ZCTA5 02108"
"0.5035","0.0379","8600000US02109","ZCTA5 02109"
"0.6317","0.0536","8600000US02110","ZCTA5 02110"
"0.6589","0.0669","8600000US02111","ZCTA5 02111"
"0.4606","0.0604","8600000US02113","ZCTA5 02113"
"0.4929","0.0295","8600000US02114","ZCTA5 02114"
"0.6075","0.0258","8600000US02115","ZCTA5 02115"
"0.5989","0.0222","8600000US02116","ZCTA5 02116"
"0.6269","0.0236","8600000US02118","ZCTA5 02118"
"0.5544","0.0284","8600000US02119","ZCTA5 02119"
"0.4908","0.0279","8600000US02120","ZCTA5 02120"
"0.5376","0.0271","8600000US02121","ZCTA5 02121"
"0.4662","0.0386","8600000US02122","ZCTA5 02122"
