"GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME"
"id","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file","Geographic Area Name"
"8600000US01516","8500","3463","3463","0","5037","0","ZCTA5 01516"
"8600000US01518","2974","1919","1919","0","1055","0","ZCTA5 01518"
"8600000US01519","6595","6146","6146","0","449","0","ZCTA5 01519"
"8600000US01520","13997","12248","12248","0","1749","0","ZCTA5 01520"
"8600000US01521","2481","0","0","0","2481","0","ZCTA5 01521"
"8600000US01522","3310","2272","2272","0","1038","0","ZCTA5 01522"
"8600000US01523","7582","5175","5175","0","2407","0","ZCTA5 01523"
"8600000US01524","6696","4776","4776","0","1920","0","ZCTA5 01524"
"8600000US01525","290","290","290","0","0","0","ZCTA5 01525"
"8600000US01527","13246","12041","12041","0","1205","0","ZCTA5 01527"
"8600000US01529","3190","2411","2411","0","779","0","ZCTA5 01529"
"8600000US01531","999","0","0","0","999","0","ZCTA5 01531"
"8600000US01532","14155","13215","13215","0","940","0","ZCTA5 01532"
"8600000US01534","5631","5021","5021","0","610","0","ZCTA5 01534"
"8600000US01535","4680","2782","0","2782","1898","0","ZCTA5 01535"
"8600000US01536","6888","6567","6567","0","321","0","ZCTA5 01536"
"8600000US01537","2248","1724","1724","0","524","0","ZCTA5 01537"
"8600000US01540","11291","8618","8618","0","2673","0","ZCTA5 01540"
"8600000US01541","3413","0","0","0","3413","0","ZCTA5 01541"
"8600000US01542","2202","1762","1762","0","440","0","ZCTA5 01542"
"8600000US01543","7973","3408","3408","0","4565","0","ZCTA5 01543"
"8600000US01545","35299","35299","35299","0","0","0","ZCTA5 01545"
"8600000US01550","16719","14656","14656","0","2063","0","ZCTA5 01550"
"8600000US01560","4527","4527","4527","0","0","0","ZCTA5 01560"
"8600000US01561","330","330","330","0","0","0","ZCTA5 01561"
"8600000US01562","11688","7727","7651","76","3961","0","ZCTA5 01562"
"8600000US01564","7808","3107","3107","0","4701","0","ZCTA5 01564"
